,subject,block,correct,incorrect,totalTrials,score
141,subj100,block3,36,44,80,0.45
142,subj154,block4,18,62,80,0.225
143,subj162,block6,29,51,80,0.3625
144,subj136,block1,33,47,80,0.4125
145,subj132,block4,32,48,80,0.4
146,subj128,block3,37,43,80,0.4625
147,subj104,block6,24,56,80,0.3
148,subj150,block1,18,62,80,0.225
149,subj120,block5,36,44,80,0.45
150,subj160,block4,36,44,80,0.45
151,subj134,block3,34,46,80,0.425
152,subj102,block1,20,60,80,0.25
153,subj118,block6,40,40,80,0.5
154,subj148,block4,33,47,80,0.4125
155,subj106,block4,23,57,80,0.2875
156,subj152,block3,36,44,80,0.45
157,subj130,block6,37,43,80,0.4625
158,subj146,block5,23,57,80,0.2875
159,subj105,block3,39,41,80,0.4875
160,subj151,block4,34,46,80,0.425
161,subj133,block1,26,54,80,0.325
162,subj129,block6,29,51,80,0.3625
163,subj111,block5,29,51,80,0.3625
164,subj139,block5,31,49,80,0.3875
165,subj137,block4,16,64,80,0.2
166,subj101,block6,27,53,80,0.3375
167,subj155,block1,20,60,80,0.25
168,subj131,block3,32,48,80,0.4
169,subj149,block1,24,56,80,0.3
170,subj107,block1,24,56,80,0.3
171,subj153,block6,20,60,80,0.25
172,subj125,block5,33,47,80,0.4125
173,subj143,block5,37,43,80,0.4625
174,subj103,block4,23,56,79,0.2911392405063291
175,subj157,block3,37,43,80,0.4625
176,subj119,block3,36,44,80,0.45
177,subj161,block1,30,50,80,0.375
178,subj135,block6,28,52,80,0.35
179,subj115,block5,40,40,80,0.5
180,subj155,block4,21,59,80,0.2625
181,subj101,block3,34,46,80,0.425
182,subj137,block1,9,71,80,0.1125
183,subj129,block3,29,51,80,0.3625
184,subj133,block4,43,37,80,0.5375
185,subj151,block1,23,57,80,0.2875
186,subj105,block6,35,45,80,0.4375
187,subj121,block5,22,58,80,0.275
188,subj135,block3,30,50,80,0.375
189,subj161,block4,37,43,80,0.4625
190,subj119,block6,33,47,80,0.4125
191,subj157,block6,29,51,80,0.3625
192,subj103,block1,35,45,80,0.4375
193,subj153,block3,22,58,80,0.275
194,subj107,block4,33,47,80,0.4125
195,subj149,block4,27,53,80,0.3375
196,subj131,block6,24,56,80,0.3
197,subj109,block5,32,48,80,0.4
198,subj147,block5,31,49,80,0.3875
199,subj150,block4,15,65,80,0.1875
200,subj104,block3,31,49,80,0.3875
201,subj128,block6,30,50,80,0.375
202,subj132,block1,34,46,80,0.425
203,subj110,block5,17,63,80,0.2125
204,subj138,block5,27,53,80,0.3375
205,subj136,block4,37,43,80,0.4625
206,subj162,block3,32,48,80,0.4
207,subj154,block1,21,59,80,0.2625
